Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,209.550003,212.850006,209.550003,212.399994,212.399994,75258.0
2023-04-05,212.550003,213.800003,210.050003,210.449997,210.449997,77646.0
2023-04-06,210.300003,219.149994,210.050003,217.100006,217.100006,114264.0
2023-04-10,224.050003,235.449997,223.649994,229.399994,229.399994,422181.0
2023-04-11,230.699997,231.550003,227.149994,229.050003,229.050003,110279.0
2023-04-12,229.0,233.899994,228.800003,232.600006,232.600006,187855.0
2023-04-13,232.25,238.25,231.899994,235.350006,235.350006,316574.0
2023-04-17,235.0,240.699997,234.5,239.300003,239.300003,159329.0
2023-04-18,239.449997,244.449997,238.100006,241.300003,241.300003,173766.0
2023-04-19,240.399994,242.399994,239.399994,241.050003,241.050003,123536.0
2023-04-20,242.5,250.5,241.5,247.399994,247.399994,409089.0
2023-04-21,247.399994,248.699997,242.100006,244.449997,244.449997,155453.0
2023-04-24,243.350006,246.600006,243.100006,245.949997,245.949997,154691.0
2023-04-25,246.350006,246.350006,242.199997,243.100006,243.100006,60205.0
2023-04-26,242.25,246.399994,242.25,245.600006,245.600006,103756.0
2023-04-27,245.649994,247.449997,244.449997,245.699997,245.699997,76254.0
2023-04-28,246.0,249.0,245.25,248.399994,248.399994,103140.0
2023-05-02,248.0,248.0,243.699997,244.75,244.75,84979.0
2023-05-03,243.350006,247.100006,243.350006,245.899994,245.899994,74279.0
2023-05-04,243.550003,246.850006,241.75,242.350006,242.350006,80214.0
2023-05-05,244.850006,249.949997,243.649994,246.699997,246.699997,202199.0
2023-05-08,247.149994,262.899994,245.600006,258.850006,258.850006,748814.0
2023-05-09,260.0,267.200012,258.5,259.399994,259.399994,476615.0
2023-05-10,260.0,264.0,258.649994,262.299988,262.299988,124051.0
2023-05-11,263.549988,265.950012,262.149994,264.350006,264.350006,169985.0
2023-05-12,265.100006,272.399994,260.200012,262.299988,262.299988,347374.0
2023-05-15,269.75,274.700012,267.200012,271.700012,271.700012,331434.0
2023-05-16,272.149994,277.950012,265.0,268.100006,268.100006,226582.0
2023-05-17,268.899994,269.0,262.5,263.75,263.75,225875.0
2023-05-18,,,,,,
2023-05-19,268.0,275.75,262.299988,274.450012,274.450012,315344.0
2023-05-22,274.299988,276.850006,268.049988,271.049988,271.049988,163766.0
