Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,2164.434326,2168.126221,2136.744141,2151.92749,2144.352783,5146521
2023-04-05,2167.203125,2167.203125,2130.791016,2146.758789,2139.202148,8131464
2023-04-06,2139.651611,2172.741211,2139.651611,2161.157471,2153.550049,9217523
2023-04-10,2169.049316,2169.418457,2142.789795,2145.835693,2138.282227,6480704
2023-04-11,2154.28125,2160.742188,2145.097412,2156.450195,2148.859375,5271183
2023-04-12,2156.450195,2185.478516,2150.635498,2165.957275,2158.333008,9089543
2023-04-13,2171.818115,2183.632568,2161.665283,2174.125732,2166.4729,6189104
2023-04-17,2238.228027,2238.228027,2168.172363,2185.155518,2177.463623,8964739
2023-04-18,2193.970215,2193.970215,2146.897217,2160.142334,2152.538574,5202788
2023-04-19,2158.942383,2176.34082,2152.619873,2170.895264,2163.253662,6136737
2023-04-20,2172.833496,2177.356201,2152.527588,2165.40332,2157.781006,3503665
2023-04-21,2169.64917,2179.202148,2156.496338,2168.126221,2160.494385,3823658
2023-04-24,2192.124268,2197.569824,2167.203125,2176.43335,2168.772217,6468093
2023-04-25,2183.817139,2197.292969,2169.510742,2193.093262,2185.373535,4618063
2023-04-26,2195.816162,2202.369629,2172.787354,2180.217529,2172.543213,4308917
2023-04-27,2192.124268,2200.431152,2181.971191,2194.016357,2186.293457,4583562
2023-04-28,2198.585205,2237.259033,2198.354492,2234.120605,2226.256592,7782605
2023-05-02,2248.611816,2257.472656,2241.135498,2253.088379,2245.157471,6490902
2023-05-03,2256.734131,2256.734131,2227.244385,2233.751465,2225.888672,3530936
2023-05-04,2234.720703,2263.979736,2228.675049,2259.503174,2251.549805,4317616
2023-05-05,2253.042236,2271.825195,2248.427246,2253.734375,2245.80127,4373292
2023-05-08,2261.349121,2292.408203,2255.949707,2281.562988,2273.531738,4576891
2023-05-09,2284.424316,2295.315674,2273.578857,2288.623779,2280.567871,3232360
2023-05-10,2298.269287,2307.36084,2290.146729,2304.361084,2296.249756,5436127
2023-05-11,2306.530029,2316.267578,2285.854736,2289.316162,2281.257813,5278930
2023-05-12,2279.624512,2295.869385,2267.348633,2293.054199,2284.982666,3477670
2023-05-15,2298.177002,2311.69873,2282.716553,2297.576904,2289.489502,3416671
2023-05-16,2301.961182,2307.129883,2261.487549,2264.856689,2256.884277,4358614
2023-05-17,2273.348145,2275.194092,2241.966309,2251.473145,2243.547852,4399483
2023-05-18,2260.933838,2267.810303,2240.258545,2246.627441,2238.719238,5262765
2023-05-19,2246.627441,2257.611084,2232.597656,2253.918945,2245.985107,4025223
2023-05-22,2247.50415,2276.117188,2245.05835,2265.964111,2257.987793,3717453
2023-05-23,2271.179199,2277.963135,2262.6875,2265.548828,2257.573975,3046017
2023-05-24,2257.564941,2274.27124,2246.073486,2252.349854,2244.421631,4056127
